Timestamp,Gender,Age,Race,Occupation,Do you agree that skincare is important?,Have you ever used any skin care products?,Skin Conditions,Preferred Type of Ingredients,How do you choose your products?,Do you use samples before buying skincare products?,How often do you buy skincare products?,How willing are you to try different skin care products?,Where do you purchase your skin care products?,Average monthly spending on skincare products,The list of ingredients on a product is hard to understand.,I want to gain knowledge of skincare regime in easy and understandable way.,Do you think that technology can improve your skincare routine?,Have you heard about AI (Artificial Intelligence)?,Do you want to have a skin scanning app that can customize skincare regime?,How excited  would you be to use the skin scanning application?,State
4/3/2022 0:18,Female,25-29,Malay,Engineer,Yes,Yes,Pigmentation,Oil-free,Salesperson,Yes,Rarely,Willing,Online,RM 100 - RM 149,Strongly Disagree,No,Yes,Yes,Yes,Moderately Excited,W.P. Putrajaya
8/16/2022 13:50,Female,14-19,Malay,Own,Yes,No,Combination Skin,Alcohol-free,Brand,Yes,Sometimes,Willing,Online,RM 150 - RM 199,Disagree,Yes,Yes,Yes,Yes,Slightly Excited,Pulau Pinang
11/17/2022 6:45,Female,25-29,Malay,Manager,No,Yes,Combination Skin,Hypoallergenic,Dermatologist,Yes,Often,Willing,Online,RM 100 - RM 149,Agree,Yes,No,No,Yes,Extremely Excited,W.P. Putrajaya
10/14/2022 5:41,Female,>35,Malay,Architect,No,Yes,Combination Skin,Oil-free,Dermatologist,No,Very often,Not Willing,Mall,RM 150 - RM 199,Neutral,Yes,Yes,Yes,Yes,Moderately Excited,Melaka
11/28/2022 18:50,Male,>35,Malay,Student,Yes,No,Combination Skin,Antioxidant,Brand,Yes,Sometimes,Willing,Online,< RM 20,Strongly Disagree,No,Yes,Yes,Yes,Very Excited,Perlis
5/8/2022 5:43,Female,25-29,Bajau,Designer,Yes,Yes,Oily Skin,Noncomedogenic,Relatives,Yes,Very often,Willing,Online,RM 200 - RM 300,Neutral,Yes,Yes,No,No,Very Excited,Sabah
4/20/2022 3:27,Female,>35,Bajau,Engineer,Yes,Yes,Brown Spots,Oil-free,Brand,No,Never,Willing,Mall,RM 20 - RM 49,Strongly Agree,No,Yes,No,Yes,Very Excited,Perak
11/10/2022 2:24,Female,30-35,Bajau,Doctor,Yes,Yes,Combination Skin,Natural,Dermatologist,No,Yes,Willing,Specialized Beauty Shops,> RM 300,Strongly Disagree,Yes,Yes,Yes,No,Very Excited,Sabah
8/10/2022 9:14,Female,20-24,Bajau,Manager,Yes,No,Uneven Skin Tone,Noncomedogenic,Relatives,Yes,Yes,Willing,Online,RM 200 - RM 300,Neutral,Yes,Yes,Yes,Yes,Slightly Excited,Pahang
9/5/2022 21:24,Female,20-24,Bajau,Teacher,Yes,Yes,Oily Skin,Alcohol-free,Relatives,No,Never,Not Willing,Mall,RM 50 - RM 99,Agree,Yes,No,Yes,No,Extremely Excited,W.P. Putrajaya
7/13/2022 23:50,Female,25-29,Bajau,Manager,No,Yes,Combination Skin,Oil-free,Dermatologist,Yes,Rarely,Willing,Mall,RM 50 - RM 99,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Johor
11/11/2022 4:14,Female,30-35,Bajau,Manager,Yes,Yes,Combination Skin,Hypoallergenic,Relatives,Yes,Very often,Not Willing,Online,RM 50 - RM 99,Strongly Disagree,Yes,No,Yes,Yes,Moderately Excited,Selangor
8/6/2022 15:13,Female,30-35,Bajau,Student,Yes,Yes,Combination Skin,Noncomedogenic,Brand,Yes,Very often,Not Willing,Online,RM 50 - RM 99,Agree,Yes,Yes,No,Yes,Extremely Excited,W.P. Putrajaya
